Date,SPY_chg,QQQ_chg,Gold_chg,Oil_chg,DXY_chg,BTC_chg,VIX_chg,SP500_fut_chg,US2Y_chg,US10Y_chg,is_weekend,hour_utc,dow_utc,Ann_CPI,Ann_Employment,Ann_FOMC,Ann_GDP,FED_DELTA,GDP_DELTA,UNEMPLOYMENT_DELTA,INF_YEARLY_DELTA,INF_MONTHLY_DELTA,fed_market_start,fed_market_end,gdp_market_start,gdp_market_end,labor_market_start,labor_market_end,inf_yearly_market_start,inf_yearly_market_end,inf_monthly_market_start,inf_monthly_market_end,FED_DELTA_is_missing,GDP_DELTA_is_missing,UNEMPLOYMENT_DELTA_is_missing,INF_YEARLY_DELTA_is_missing,INF_MONTHLY_DELTA_is_missing
2025-03-05 21:00:00+00:00,,,,,,,,,,,0,21,2,0,0,0,0,0.0523984411457849,-0.0256392129138589,0.0007663393069776,0.0,7.587003963749339e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-05 22:00:00+00:00,,,,,,,,,,,0,22,2,0,0,0,0,0.0266118622789974,-0.0520830902089102,0.008957619527294,0.0,0.00010791539232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-05 23:00:00+00:00,,,,,,,,,,,0,23,2,0,0,0,0,-0.0485859570811584,0.1905901116427486,-0.0011091786405614,0.0009999999999905,-0.0015438764014561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 00:00:00+00:00,,,,,,,,,,,0,0,3,0,0,0,0,0.0959512144310785,0.0175669740887087,-0.0002238780808312,0.0225000000000079,-0.0004203189263876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 01:00:00+00:00,,,,,,,,,,,0,1,3,0,0,0,0,0.0266726540191069,0.2709835558411271,-0.0001937828379254,0.0,0.0006314055636806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 02:00:00+00:00,,,,,,,,,,,0,2,3,0,0,0,0,0.0613766029582265,0.0271329001152764,0.0002582484433588,0.0009999999999905,0.0002012195122063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 03:00:00+00:00,,,,,,,,,,,0,3,3,0,0,0,0,0.2802146967775147,-0.0041401623162755,-0.0002434650425726,-0.0009999999999905,0.0006379588445213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 04:00:00+00:00,,,,,,,,,,,0,4,3,0,0,0,0,0.0990420253311725,-0.0019755089224986,0.0004303045761986,0.0,0.0013869766358283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 05:00:00+00:00,,,,,,,,,,,0,5,3,0,0,0,0,0.0117649612143608,0.116874078925818,-0.0001138577399899,0.0,0.0025012516872067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 06:00:00+00:00,,,,,,,,,,,0,6,3,0,0,0,0,0.0163537123397929,0.0004743833017215,0.0013212935398598,0.0,0.0003472750048558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 07:00:00+00:00,,,,,,,,,,,0,7,3,0,0,0,0,0.0899325365309824,-0.0041560102302042,0.0002861499953894,0.0,-0.0012992086132896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 08:00:00+00:00,,,,,,,,,,,0,8,3,0,0,0,0,-0.0264754091935515,0.1401299978151797,6.532604064091174e-05,0.0,-7.199608798202917e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 09:00:00+00:00,,,,,,,,,,,0,9,3,0,0,0,0,-0.0391552616438701,-0.017587939698501,0.0,-0.0020000000000095,5.263548609946156e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 10:00:00+00:00,,,,,,,,,,,0,10,3,0,0,0,0,0.0626708041373564,-0.0001507537688354,-0.0009627898495097,0.0020000000000095,0.000234555506978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 11:00:00+00:00,,,,,,,,,,,0,11,3,0,0,0,0,0.0035586686470701,-0.037425742574257,0.000636727012818,-0.0010000000000047,0.0003615218046206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 12:00:00+00:00,,,,,,,,,,,0,12,3,0,0,0,0,0.0056442658924407,0.0,-0.0020913256439882,0.0,0.0018486460105009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 13:00:00+00:00,,,,,,,,,,,0,13,3,0,0,0,0,-0.6634999837741145,0.0195616649043586,0.0004172083101678,0.0010000000000047,4.916420846257097e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 14:00:00+00:00,,,,,,,,,,,0,14,3,0,0,0,0,-0.5477555642687406,-0.0219398438987497,0.0081229546973844,-0.0020000000000095,-0.002362204724406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 15:00:00+00:00,,,,,,,,,,,0,15,3,0,0,0,0,-0.3587320128274918,0.0098039215686469,-0.001351757224711,0.0,0.0028528818588426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 16:00:00+00:00,,,,,,,,,,,0,16,3,0,0,0,0,0.1999840462164215,-0.0074257425742558,-0.0050560330841733,0.0160000000000053,0.0007838326694837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 17:00:00+00:00,,,,,,,,,,,0,17,3,0,0,0,0,0.3649689016983402,0.0752649385541559,0.0025363285710398,0.0084999999999979,-0.0001536521041316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 18:00:00+00:00,,,,,,,,,,,0,18,3,0,0,0,0,-0.2029887659405709,-0.0726011007418065,-0.0012359329511468,0.0305000000000035,0.0002550636761213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 19:00:00+00:00,,,,,,,,,,,0,19,3,0,0,0,0,0.0293421946450376,-0.0927990708478603,-0.0002780450714396,0.0074999999999931,0.0012426556991869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 20:00:00+00:00,,,,,,,,,,,0,20,3,0,0,0,0,-0.1022628140880161,0.0556890544275034,-0.0031270012407276,0.0,-9.88142292470684e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 21:00:00+00:00,,,,,,,,,,,0,21,3,0,0,0,0,-0.0122680827412935,-0.154206510190292,0.0002738839077949,-0.0074999999999931,0.0007314686812378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 22:00:00+00:00,,,,,,,,,,,0,22,3,0,0,0,0,0.1381786491486476,-0.0709118598895628,-0.0005458525929782,0.0,0.0002377119618444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 23:00:00+00:00,,,,,,,,,,,0,23,3,0,0,0,0,-0.1055570379771566,0.0290095220313588,-0.0012388885628098,0.0084999999999979,-4.406159918346475e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07 00:00:00+00:00,,,,,,,,,,,0,0,4,0,0,0,0,-0.0416666666666678,0.1647484459984411,-0.0011765121745668,0.0065000000000026,0.0001932695360125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07 01:00:00+00:00,,,,,,,,,,,0,1,4,0,0,0,0,-0.1693525583414601,0.0104182528805552,-0.0011836541315801,0.0074999999999931,6.555227793114682e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07 02:00:00+00:00,,,,,,,,,,,0,2,4,0,0,0,0,-0.2797134068436868,-0.0150753768843969,-0.0004626549496578,-0.0009999999999905,0.0001538630618824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07 03:00:00+00:00,,,,,,,,,,,0,3,4,0,0,0,0,0.0412290848314071,-0.0160191822054827,0.0002380868616427,-0.0225000000000079,-0.0054728384249074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07 04:00:00+00:00,,,,,,,,,,,0,4,4,0,0,0,0,0.0331042495726521,0.0050761421319975,0.0007886435330988,0.0,0.0016640283633648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07 05:00:00+00:00,,,,,,,,,,,0,5,4,0,0,0,0,-0.0584370575758317,0.0004486489258113,0.0009403862300558,0.0,0.0002922077382407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07 06:00:00+00:00,,,,,,,,,,,0,6,4,0,0,0,0,-0.0651952518663527,-0.0004486489258113,-0.0005031174779617,0.0,9.805994795897276e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07 07:00:00+00:00,,,,,,,,,,,0,7,4,0,0,0,0,0.0539002113400268,0.0008927888171825,-0.0002695116643565,0.0,0.0003418443262006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07 08:00:00+00:00,,,,,,,,,,,0,8,4,0,0,0,0,-0.0666945390424178,-0.0338219595386135,-0.0010342198808075,0.0,-0.0007808687164327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07 09:00:00+00:00,,,,,,,,,,,0,9,4,0,0,0,0,-0.0054941686430964,0.0306158246977616,-0.0028041721275542,0.0,0.0013665202537964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07 10:00:00+00:00,,,,,,,,,,,0,10,4,0,0,0,0,0.0734342665999889,0.0,-0.0002732594687984,0.0,0.0004357203696798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07 11:00:00+00:00,,,,,,,,,,,0,11,4,0,0,0,0,-0.1551750153008857,0.0,-0.0012949091141223,0.0,-0.0010221333587168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07 12:00:00+00:00,,,,,,,,,,,0,12,4,0,0,0,0,0.0514689755964212,0.0,0.0007553727043188,0.0020000000000095,-0.0015690618998718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07 13:00:00+00:00,,,,,,,,,,,0,13,4,0,1,0,0,0.0556561539908404,0.0,-0.0081764364502419,-0.0010000000000047,-0.0016620257570565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07 14:00:00+00:00,,,,,,,,,,,0,14,4,0,0,0,0,0.7362216884226811,0.0,0.0459932005827994,0.0,0.0020630075502623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07 15:00:00+00:00,,,,,,,,,,,0,15,4,0,0,0,0,0.0433630404477707,0.0,0.0,0.0150000000000005,-0.0003909950256542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07 16:00:00+00:00,,,,,,,,,,,0,16,4,0,0,0,0,0.0248290812072689,-0.001637671821328,0.0,0.0,0.0004344796785744,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2025-03-07 17:00:00+00:00,,,,,,,,,,,0,17,4,0,0,0,0,-0.0259256737833499,0.0,0.0,0.0074999999999931,-4.921259841239589e-05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
