t,p,token_id
2022-12-16 00:00:07,0.66,102122366921728883686007723122183182680201356871652918420191682492250640822215
2022-12-17 00:00:08,0.66,102122366921728883686007723122183182680201356871652918420191682492250640822215
2022-12-18 00:00:20,0.66,102122366921728883686007723122183182680201356871652918420191682492250640822215
2022-12-19 00:00:41,0.66,102122366921728883686007723122183182680201356871652918420191682492250640822215
2022-12-20 00:00:42,0.66,102122366921728883686007723122183182680201356871652918420191682492250640822215
2022-12-21 00:00:45,0.66,102122366921728883686007723122183182680201356871652918420191682492250640822215
2022-12-22 00:00:02,0.66,102122366921728883686007723122183182680201356871652918420191682492250640822215
2022-12-23 00:00:42,0.66,102122366921728883686007723122183182680201356871652918420191682492250640822215
2022-12-24 00:00:04,0.66,102122366921728883686007723122183182680201356871652918420191682492250640822215
2022-12-25 00:00:15,0.66,102122366921728883686007723122183182680201356871652918420191682492250640822215
2022-12-26 00:00:25,0.66,102122366921728883686007723122183182680201356871652918420191682492250640822215
2022-12-27 00:00:38,0.66,102122366921728883686007723122183182680201356871652918420191682492250640822215
2022-12-28 00:00:43,0.66,102122366921728883686007723122183182680201356871652918420191682492250640822215
2022-12-29 00:00:19,0.66,102122366921728883686007723122183182680201356871652918420191682492250640822215
2022-12-30 00:00:47,0.66,102122366921728883686007723122183182680201356871652918420191682492250640822215
2022-12-31 00:00:40,0.8,102122366921728883686007723122183182680201356871652918420191682492250640822215
2023-01-01 00:00:08,0.8,102122366921728883686007723122183182680201356871652918420191682492250640822215
2023-01-02 00:00:22,0.8,102122366921728883686007723122183182680201356871652918420191682492250640822215
2023-01-03 00:00:42,0.8,102122366921728883686007723122183182680201356871652918420191682492250640822215
2023-01-04 00:00:30,0.8,102122366921728883686007723122183182680201356871652918420191682492250640822215
2023-01-05 00:00:10,0.8,102122366921728883686007723122183182680201356871652918420191682492250640822215
2023-01-06 00:00:50,0.8,102122366921728883686007723122183182680201356871652918420191682492250640822215
2023-01-07 00:00:16,0.8,102122366921728883686007723122183182680201356871652918420191682492250640822215
2023-01-08 00:00:04,0.88,102122366921728883686007723122183182680201356871652918420191682492250640822215
2023-01-09 00:00:10,0.88,102122366921728883686007723122183182680201356871652918420191682492250640822215
2023-01-10 00:00:25,0.92,102122366921728883686007723122183182680201356871652918420191682492250640822215
2023-01-11 00:00:44,0.87,102122366921728883686007723122183182680201356871652918420191682492250640822215
2023-01-12 00:00:34,0.78,102122366921728883686007723122183182680201356871652918420191682492250640822215
2023-01-13 00:00:19,0.92,102122366921728883686007723122183182680201356871652918420191682492250640822215
2023-01-14 00:00:24,0.95,102122366921728883686007723122183182680201356871652918420191682492250640822215
2023-01-15 00:00:41,0.97,102122366921728883686007723122183182680201356871652918420191682492250640822215
2023-01-16 00:00:43,0.91,102122366921728883686007723122183182680201356871652918420191682492250640822215
2023-01-17 00:00:43,0.97,102122366921728883686007723122183182680201356871652918420191682492250640822215
2023-01-18 00:00:15,0.95,102122366921728883686007723122183182680201356871652918420191682492250640822215
2023-01-19 00:00:05,0.94,102122366921728883686007723122183182680201356871652918420191682492250640822215
2023-01-20 00:00:37,0.95,102122366921728883686007723122183182680201356871652918420191682492250640822215
2023-01-21 00:00:08,0.97,102122366921728883686007723122183182680201356871652918420191682492250640822215
2023-01-22 00:00:54,0.98,102122366921728883686007723122183182680201356871652918420191682492250640822215
2023-01-24 00:00:12,0.97,102122366921728883686007723122183182680201356871652918420191682492250640822215
2023-01-25 00:00:14,0.98,102122366921728883686007723122183182680201356871652918420191682492250640822215
2023-01-26 00:00:54,0.97,102122366921728883686007723122183182680201356871652918420191682492250640822215
2023-01-27 00:00:34,0.97,102122366921728883686007723122183182680201356871652918420191682492250640822215
2023-01-28 00:00:35,0.97,102122366921728883686007723122183182680201356871652918420191682492250640822215
