Date,SPY_chg,QQQ_chg,Gold_chg,Oil_chg,DXY_chg,BTC_chg,VIX_chg,SP500_fut_chg,US2Y_chg,US10Y_chg,is_weekend,hour_utc,dow_utc,Ann_CPI,Ann_Employment,Ann_FOMC,Ann_GDP,FED_DELTA,GDP_DELTA,UNEMPLOYMENT_DELTA,INF_MONTHLY_DELTA,fed_market_start,fed_market_end,gdp_market_start,gdp_market_end,labor_market_start,labor_market_end,inf_monthly_market_start,inf_monthly_market_end,FED_DELTA_is_missing,GDP_DELTA_is_missing,UNEMPLOYMENT_DELTA_is_missing,INF_MONTHLY_DELTA_is_missing
2025-03-05 15:00:00+00:00,-0.0017135719426187,-0.002986227889214,0.0019850265313581,-0.0027289312867524,0.0010533732491997,-0.0005607785361992,-0.0501835793859738,0.0019469562583827,-0.0010927726279297,0.0054605327806309,0,15,2,0,0,0,0,0.093853052460691,0.0263462394303672,0.0025595003802436,-0.0003050185241022,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-05 16:00:00+00:00,-0.001808507233287,-0.0014175595650832,0.0020493903405636,-0.0054727974617242,-0.000153044758695,0.0070837020414018,0.0150342982731039,-0.0017272648760687,0.000113169112377,0.0011807772570162,0,16,2,0,0,0,0,0.1644794272071852,0.0135531135531152,-0.0017874770682908,-0.0004186458097592,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-05 17:00:00+00:00,0.0066974633114831,0.0084324970614775,-0.0027269319061767,0.0117701665241938,-0.0013203134620366,0.007961693170835,-0.0469741321381799,0.0083917293883553,-0.0003771876885938,0.0033018722042752,0,17,2,0,0,0,0,0.2200287573881425,0.0557963163597037,-0.000593181958834,-0.0006313013711576,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-05 18:00:00+00:00,0.0009157909979948,0.001510021744902,0.0003760117833715,0.0034747804661687,0.0005747828356572,-0.0001075194488318,-0.0106571832255636,0.0012439945092657,-0.0001131990038487,0.0039961731970226,0,18,2,0,0,0,0,0.1055864294678041,0.0211267605633764,0.0009086276237582,0.0006601766231142,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-05 19:00:00+00:00,0.0061633676511869,0.0065807042938148,0.0011275279394116,-0.0010538948622998,-0.0013404382159154,0.0008834956790382,-0.026032311751844,0.0027419562143866,-7.54745462092643e-05,0.0018731852052977,0,19,2,0,0,0,0,-0.0508655522721337,-0.0873786407767056,-5.5698485510902174e-05,0.0003837233818444,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-05 20:00:00+00:00,0.0022821158505519,0.0025721976654586,0.0005119279034868,0.0018086322432824,-5.7566258068186826e-05,0.0054922895683644,0.004608224451857,-8.54518265327453e-05,-0.0003396610937087,-0.0032717779951534,0,20,2,0,0,0,0,-0.0228992407314745,-0.0406406828947893,0.0,-0.0001558901082461,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-05 21:00:00+00:00,-0.0018831006398278,-0.0014518625124255,-0.0008869209884146,-0.0012035779988788,0.0002397147241166,0.0009534240251261,0.0064220780686572,-0.0008973208563004,-0.0001510117789187,,0,21,2,0,0,0,0,0.0523984411457849,-0.0256392129138589,0.0007663393069776,7.587003963749339e-06,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-05 22:00:00+00:00,,,,,-0.0001437797382169,0.0013013683296769,,,,,0,22,2,0,0,0,0,0.0266118622789974,-0.0520830902089102,0.008957619527294,0.00010791539232,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-05 23:00:00+00:00,,,-0.0005803861972942,0.0012050283444822,-0.000335509917657,0.0013159919916556,,-4.276794115132265e-05,-0.0001510345869204,,0,23,2,0,0,0,0,-0.0485859570811584,0.1905901116427486,-0.0011091786405614,-0.0015438764014561,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 00:00:00+00:00,,,-0.0007515291002559,-0.0001504759447387,0.000527469536421,-0.006708643751861,,-0.0009837047175056,-0.0003776435045317,,0,0,3,0,0,0,0,0.0959512144310785,0.0175669740887087,-0.0002238780808312,-0.0004203189263876,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 01:00:00+00:00,,,0.0028033061769219,0.0042130421780623,-0.0017541602894587,0.0119318574353202,,0.0006421782686873,7.55572346051725e-05,,0,1,3,0,0,0,0,0.0266726540191069,0.2709835558411271,-0.0001937828379254,0.0006314055636806,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 02:00:00+00:00,,,0.0005113694388676,0.0010488417300686,0.0009602675738562,0.0081424124097793,,-0.0004278440936122,-0.0001133272892112,,0,2,3,0,0,0,0,0.0613766029582265,0.0271329001152764,0.0002582484433588,0.0002012195122063,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 03:00:00+00:00,,,-0.0017036935793961,-0.0022450816040342,0.0010648100372745,-0.002797199584559,,0.000984462611822,-3.778004458043771e-05,,0,3,3,0,0,0,0,0.2802146967775147,-0.0041401623162755,-0.0002434650425726,0.0006379588445213,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 04:00:00+00:00,,,-0.0009898786388289,0.0012000329622787,-0.0010733279431766,0.0079156228828745,,0.0004703668861711,0.0,,0,4,3,0,0,0,0,0.0990420253311725,-0.0019755089224986,0.0004303045761986,0.0013869766358283,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 05:00:00+00:00,,,0.0002392276250853,-0.0038956325315838,-0.0005467917137086,0.0053368166113221,,-0.0010685130572295,3.778147196609183e-05,,0,5,3,0,0,0,0,0.0117649612143608,0.116874078925818,-0.0001138577399899,0.0025012516872067,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 06:00:00+00:00,,,0.0003073856789628,0.0037605292926616,0.0002783419024219,-0.009304963817678,,0.0008985110388499,0.0001889002229022,,0,6,3,0,0,0,0,0.0163537123397929,0.0004743833017215,0.0013212935398598,0.0003472750048558,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 07:00:00+00:00,,,-0.0038586473717346,0.0011987741291166,-0.0003070352807988,-0.0062993915367207,,-0.0040610439020219,0.0,,0,7,3,0,0,0,0,0.0899325365309824,-0.0041560102302042,0.0002861499953894,-0.0012992086132896,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 08:00:00+00:00,,,-0.0015425750978064,-0.0055380202171539,-0.0003455024702914,-0.0009225517506032,0.0533272583324575,-0.0035196154176324,0.0003021832741558,,0,8,3,0,0,0,0,-0.0264754091935515,0.1401299978151797,6.532604064091174e-05,-7.199608798202917e-05,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 09:00:00+00:00,,,-0.0039482267973991,0.0019566112077225,-0.0002208668882515,-0.0058546718300341,0.011683190968593,-0.0019813921433494,0.00030209198701,,0,9,3,0,0,0,0,-0.0391552616438701,-0.017587939698501,0.0,5.263548609946156e-05,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 10:00:00+00:00,,,0.002033691777084,-0.0046567156378979,0.0005474166017658,0.0063489649748234,0.0175364315431094,-0.0018990073370738,0.0001510003775009,,0,10,3,0,0,0,0,0.0626708041373564,-0.0001507537688354,-0.0009627898495097,0.000234555506978,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 11:00:00+00:00,,,0.0023390335589001,0.0070932871347755,-0.0005183368811849,0.0004409982200921,-0.0214375876105564,0.002637723774107,-0.0001132331848719,,0,11,3,0,0,0,0,0.0035586686470701,-0.037425742574257,0.000636727012818,0.0003615218046206,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 12:00:00+00:00,,,-0.0010981678434804,0.0,4.8065178726908186e-05,-0.0123943362267534,0.0111683943820064,-0.0020701255013585,0.0010569627420633,,0,12,3,0,0,0,0,0.0056442658924407,0.0,-0.0020913256439882,0.0018486460105009,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 13:00:00+00:00,,,0.0006184247288698,-0.002547666563577,-0.001680588535687,-0.0051967731493212,0.006796934629963,-0.0009075586671852,-0.0004525057505939,,0,13,3,0,0,0,0,-0.6634999837741145,0.0195616649043586,0.0004172083101678,4.916420846257097e-05,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 14:00:00+00:00,,,0.0038111923283261,0.0031550344377311,-0.0008753948010002,-0.0007630132940158,0.0286919145964958,-0.0027684055714162,-0.0001886294186441,0.0053926756476767,0,14,3,0,0,0,0,-0.5477555642687406,-0.0219398438987497,0.0081229546973844,-0.002362204724406,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 15:00:00+00:00,-0.0078366988527656,-0.0095402687927181,-0.0002736519364485,-0.0143777015536564,0.0015597266445734,0.012526545086049,-0.0360951267866627,0.007460744339377,-0.000415063014112,0.0076958935514448,0,15,3,0,0,0,0,-0.3587320128274918,0.0098039215686469,-0.001351757224711,0.0028528818588426,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 16:00:00+00:00,5.0118675748445085e-05,-0.0022924543603303,0.0009580021832993,-0.0027351513729432,-0.0004133432117178,-0.0155862345127341,0.0191489686357213,-0.00727632825282,7.549733871869968e-05,0.0043971425525675,0,16,3,0,0,0,0,0.1999840462164215,-0.0074257425742558,-0.0050560330841733,0.0007838326694837,0,0,0,0,0,0,0,0,0,0,0,0
