pm_signal,asset,h,n,beta_pm,p_hc3,r,mean_dir,p_dir
FED_DELTA,Gold_chg,2,651,-0.0003121074769849638,0.09184692300062812,-0.0691068510574472,-0.00011558156411611395,0.3356589486670608
FED_DELTA,SPY_chg,1,290,0.0010377065634492402,0.04503575991179251,0.1715804378585168,9.834509535271893e-05,0.7037815144383957
FED_DELTA,SPY_chg,3,273,0.001109014929550412,0.05989414216177528,0.1582320388811348,0.0007945505649008502,0.0101597678846746
GDP_DELTA,Gold_chg,6,603,-0.0009825191263365418,0.07605964127374203,-0.04839940766733523,-4.1910595119546935e-05,0.7812045808435206
GDP_DELTA,Oil_chg,2,615,0.0019558418214826174,0.03631765342234908,0.04526457405573586,0.000156052309512787,0.6302533391447942
GDP_DELTA,Oil_chg,3,604,-0.0010646494656685087,0.07563717161229641,-0.03662649867802749,-0.00016106846077831193,0.4684543374190129
GDP_DELTA,Oil_chg,6,599,0.0018326541113257825,0.06953211164769552,0.04783607350010281,0.00029315126741092295,0.3062852181389963
UNEMPLOYMENT_DELTA,Gold_chg,2,447,0.025811344990880926,0.09933579808239666,0.06974056743874471,0.00041706310158816747,0.07412014972197922
UNEMPLOYMENT_DELTA,BTC_chg,3,653,-0.024230722086560037,0.08190411018355218,-0.06283153879679844,-0.0001994541808057496,0.25401438246987906
UNEMPLOYMENT_DELTA,SPY_chg,6,139,-0.032382170872996774,0.02693508805551207,-0.10942342631479768,-0.00039552637934163427,0.2121999252659586
INF_MONTHLY_DELTA,Gold_chg,2,533,-0.007349625698984916,0.0638136677116564,-0.06922267784320245,0.00017172704831549312,0.11874821529737446
INF_MONTHLY_DELTA,Oil_chg,5,520,0.048712127929842565,0.020730756395185686,0.2362554219475947,0.00012274000045006447,0.5549991447169624
