asset,is_core,r2_base,r2_aug,delta_r2,f_pvalue,nobs,beta_FED_DELTA,p_FED_DELTA,beta_GDP_DELTA,p_GDP_DELTA,beta_UNEMPLOYMENT_DELTA,p_UNEMPLOYMENT_DELTA,beta_INF_MONTHLY_DELTA,p_INF_MONTHLY_DELTA
BTC,True,0.008222,0.010049,0.001827,0.3863,2667,-0.00036,0.5554,-0.000593,0.7763,-0.031385,0.3362,-0.018273,0.1539
Gold,True,0.007211,0.00913,0.00192,0.3632,2662,-0.00029,0.1946,-0.000208,0.8235,-0.01549,0.2401,-0.007072,0.3615
Oil,True,0.001549,0.008886,0.007338,0.0006,2647,0.001421,0.0135,-0.000361,0.7486,-0.004541,0.8765,0.039295,0.0051
SPY,True,0.199556,0.200727,0.00117,0.906,1899,5.6e-05,0.8616,-0.000757,0.4017,0.006188,0.7625,-0.004969,0.6719
QQQ,False,0.202209,0.203102,0.000893,0.9324,1899,0.000234,0.5365,-0.000596,0.6027,-0.003543,0.8876,-0.006574,0.6067
SP500_fut,False,0.009457,0.011853,0.002397,0.4585,2648,0.000166,0.6347,0.000118,0.8668,-0.019004,0.2192,-0.007874,0.2572
