signal,timestamp,delta,z_score,roll_mu,roll_sig,is_shock,is_missing,threshold
FED_DELTA,2026-08-31T10:00:00,0.0,,-0.0010010871572381965,0.06871443934556892,0,1,0.13642779153389964
GDP_DELTA,2026-08-31T10:00:00,0.0,,-0.0027893419582738924,0.010057703616816177,0,1,0.017326065275358463
UNEMPLOYMENT_DELTA,2026-08-31T10:00:00,0.0,,-0.0008424115686133633,0.003816459033782731,0,1,0.006790506498952098
INF_MONTHLY_DELTA,2026-08-31T10:00:00,0.0,0.03160121208940658,-5.118492285588953e-05,0.0016197039119561758,0,0,0.003188222901056462
