signal,timestamp,delta,z_score,roll_mu,roll_sig,is_shock,is_missing,threshold
FED_DELTA,2026-04-12T00:00:00,0.0,-0.3581140378626636,0.018863323573020924,0.052674059091519364,0,0,0.12421144175605965
GDP_DELTA,2026-04-12T00:00:00,-0.0030896199515382,0.05996866756277649,-0.004533197025208588,0.024072178566791492,0,0,0.043611160108374396
UNEMPLOYMENT_DELTA,2026-04-12T00:00:00,0.0,,0.0008020223463383251,0.003906332018007108,0,1,0.008614686382352542
INF_MONTHLY_DELTA,2026-04-12T00:00:00,0.0,,,,0,1,
